SET
    dbms    | table_catalog | table_schema |                 table_name                 |       column_name        | ordinal_position |        data_type         | character_maximum_length | constraint_type | table_schema |            table_name            | column_name 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | user_id                  |                6 | uuid                     |                          | FOREIGN KEY     | public       | authentication_customuser        | id
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | id                       |                1 | bigint                   |                          | PRIMARY KEY     |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | token_id                 |                3 | bigint                   |                          | UNIQUE          |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | token_id                 |                3 | bigint                   |                          | FOREIGN KEY     | public       | token_blacklist_outstandingtoken | id
 postgresql | boottracker   | public       | authentication_customuser                  | last_name                |                7 | character varying        |                      150 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | role                     |                9 | character varying        |                       20 |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | recipient_type           |                4 | character varying        |                        2 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | created_at               |               11 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | updated_at               |               16 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_admin_log                           | change_message           |                6 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | status                   |               12 | character varying        |                       10 |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | confirmed_transaction_id |               11 | character varying        |                      100 |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | validated_at             |               14 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_payment_date         |               20 | date                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | is_staff                 |               11 | boolean                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | program_interest         |                5 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_raw_text             |                8 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | created_at               |               12 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | version                  |               10 | integer                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_admin_log                           | action_flag              |                5 | smallint                 |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_transaction_id       |                7 | character varying        |                      100 |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | start_date               |                3 | date                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | is_active                |                6 | boolean                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | total_cost               |                5 | numeric                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | created_at               |                6 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | receipt_file             |                2 | character varying        |                      100 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | updated_at               |               12 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | status                   |                8 | character varying        |                       30 |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | name                     |                2 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | created_at               |                7 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | interaction_type         |                2 | character varying        |                       20 |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_bank_name            |                4 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | django_migrations                          | name                     |                3 | character varying        |                      255 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | is_superuser             |                3 | boolean                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | updated_at               |               13 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | next_action_date         |               12 | date                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_session                             | session_data             |                2 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_admin_log                           | action_time              |                2 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | rejection_reason         |               13 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_migrations                          | app                      |                2 | character varying        |                      255 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | assigned_at              |                9 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | outcome                  |                3 | character varying        |                       30 |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | created_at               |                7 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | confirmed_bank_name      |               10 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | phone                    |                8 | character varying        |                       20 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | is_company               |                7 | boolean                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | deleted_at               |               16 | timestamp with time zone |                          |                 |              |                                  | 
