92	S6-8 — Mobile: Animaciones de navegación y transiciones de pantalla	sin-asignar	open	2026-06-14	
91	S6-7 — Frontend: Animaciones de transición y micro-interacciones	sin-asignar	open	2026-06-14	
78	HST-003 — Expiración automática de sesión (2h de inactividad)	sin-asignar	closed	2026-06-10	2026-08-02
48	S6-6 — Mobile: Quick Call (HST-030) + corrección de bugs mobile	isabellaim	open	2026-06-08	
47	S6-5 — Frontend: Validaciones finales + testing de usabilidad	manzannita	closed	2026-06-08	2026-08-03
46	S6-4 — Frontend: Corrección de bugs UI/UX + polish visual	gabsjimz	closed	2026-06-08	2026-08-03
45	S6-3 — QA: Regresión completa del sistema	LockHurb	open	2026-06-08	
44	S6-2 — DevOps: Monitoreo producción + corrección de bugs críticos	Jmuniz27	closed	2026-06-08	2026-08-02
43	S6-1 — Scrum: Sprint Review S6 + hardening backend	Jlchong3	closed	2026-06-08	2026-08-02
